BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;
10042;2108;Distretto di Vallemaggia;21;7;56939;2676209;2705055;1116223;1150574;2689900;1133800;243;3270;1657;1721;
10273;2221;District d'Aigle;22;1;43499;2555415;2583947;1115149;1143632;2570300;1130400;370;3209;1334;1419;
10274;2222;District de la Broye-Vully;22;1;25945;2544158;2573697;1159120;1203493;2555000;1171300;429;927;576;541;
10275;2223;District du Gros-de-Vaud;22;1;23220;2528717;2551675;1156947;1177224;2539900;1166900;394;916;659;647;
10276;2224;District du Jura-Nord vaudois;22;1;70113;2498191;2551074;1153188;1198584;2527600;1176600;427;1650;890;906;
10277;2225;District de Lausanne;22;1;6514;2533834;2544978;1150656;1161555;2539400;1154900;372;930;672;668;
10278;2226;District de Lavaux-Oron;22;1;14000;2538654;2558873;1146951;1163356;2548500;1154500;371;986;711;719;
10279;2227;District de Morges;22;1;37310;2507955;2533557;1145813;1171529;2521500;1158200;371;1679;704;627;
10280;2228;District de Nyon;22;1;30738;2494306;2518661;1127832;1155695;2504800;1144300;369;1677;852;776;
10281;2229;District de l'Ouest lausannois;22;1;2634;2530091;2536651;1151029;1159629;2533300;1154900;372;612;443;426;
10282;2230;District de la Riviera-Pays-d'Enhaut;22;1;28292;2550752;2585462;1136032;1155886;2576700;1143900;371;2547;1281;1318;
10035;2301;Bezirk Brig;23;1;43419;2633080;2656165;1105559;1146566;2644900;1125700;649;4192;2157;2191;
10034;2302;District de Conthey;23;1;23420;2576220;2594584;1101000;1129470;2585400;1121700;469;3334;1707;1765;
10033;2303;District d'Entremont;23;1;63297;2566655;2603834;1078560;1108038;2583400;1092700;628;4312;2301;2358;
10032;2304;Bezirk Goms;23;1;58920;2637908;2679787;1128628;1167428;2659600;1147600;867;4273;2444;2466;
10031;2305;District d'Hérens;23;1;46618;2592702;2613417;1089268;1137198;2602100;1104300;506;4356;2321;2419;
10030;2306;Bezirk Leuk;23;1;33527;2606919;2624987;1106619;1143767;2617400;1127600;533;4190;2018;2192;
10029;2307;District de Martigny;23;1;26337;2562048;2588942;1092198;1120691;2574800;1107300;450;3540;1444;1427;
10013;2308;District de Monthey;23;1;25678;2548579;2564572;1108834;1138305;2560500;1122000;371;3253;1292;1399;
10125;2309;Bezirk Raron;23;1;39833;2619248;2659117;1118713;1149776;2628800;1135600;626;4194;2098;2161;
10177;2310;District de Saint-Maurice;23;1;19059;2553842;2572937;1099148;1122979;2563900;1109900;392;3254;1685;1886;
10178;2311;District de Sierre;23;1;41839;2597874;2621452;1097323;1137520;2609700;1117900;493;4497;2027;2139;
10179;2312;District de Sion;23;1;13060;2581673;2598968;1114067;1135984;2594600;1122900;477;3198;1574;1614;
10180;2313;Bezirk Visp;23;1;86397;2610566;2646197;1085106;1140944;2631200;1104900;636;4632;2596;2688;
10320;2400;Canton de Neuchâtel;24;2;71705;2523392;2573330;1188830;1224027;2548900;1205800;421;1550;969;1036;
10187;2500;Canton de Genève;25;1;24588;2485410;2512974;1109645;1135578;2492300;1115900;331;517;426;425;
10224;2601;District de Delémont;26;2;30318;2576140;2609051;1237043;1254368;2591900;1244400;383;1293;665;646;
10225;2602;District des Franches-Montagnes;26;2;20024;2554671;2579696;1222309;1242815;2568100;1233200;443;1185;923;975;
10226;2603;District de Porrentruy;26;2;33509;2557722;2585488;1240328;1261608;2572800;1251200;364;981;569;535;
;;;;;;2754427;2766780;1212924;1237629;2760300;1223200;426;2601;1085;1020;
